ce.colour;yellow;;;;;;;;;;;;;;;;
active.colour;orangered;;;;;;;;;;;;;;;;
aids.colour;springgreen;;;;;;;;;;;;;;;;
visible.colour;lightgrey;;;;;;;;;;;;;;;;
highlight.colour;brightred;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;8;9;10;;;;;;;;
rule.name;rule.rule;rule.types;rule.description;transparency;edgeOn;colour;R;G;B;RGB;sort number;;;;;;
Doors;PURP EQ 'DOOR';SBFR FRMW EQUI SUBE;Doors;0;FALSE;;;;;;47;;;;;;
Roads;purp eq 'ROAD';SBFR FRMW SUBE;Roads;0;FALSE;;;;;;48;;;;;;
Embedded Plates;PURP EQ 'PADS';SBFR FRMW SUBS ZONE;Embedded Plates;0;FALSE;;;;;;49;;;;;;
Client Civil Equipment Structures Pipes;PURP OF ZONE EQ 'CLIE';BRAN FRMW SBFR SUBS;Client Civil Equipment Structures Pipes;0;FALSE;;;;;;50;;;;;;
Cranes;PURP EQ 'CRAN';EQUI STRU;Cranes;0;FALSE;;;;;;51;;;;;;
Cable Trays and Electrical Equipment;PURP OF ZONE EQ 'TRAY' OR PURP OF ZONE EQ 'IBOX';BRAN SUBE;Cable Trays and Electrical Equipment;0;FALSE;220;;;;;52;;;;;;
All Elements set to OFFF;PURP OF ZONE EQ 'OFFF';PIPE BRAN EQUI SUBE STRU FRMW SBFR SUBS;All Elements set to OFFF;0;FALSE;;;;;;53;;;;;;
Existing Civil Structures Pipes;PURP OF ZONE EQ 'EXIS';FRMW SBFR SUBS;Existing Civil Structures Pipes;0;FALSE;;;;;;54;;;;;;
Existing Pipes;PURP OF BRAN EQ 'EXIS' OR PURP OF ZONE EQ 'EXIS';BRAN;Existing Pipes;0;FALSE;;;;;;55;;;;;;
Secondary Pipe Supports;PURP OF ZON EQ 'HANG';SBFR;Secondary Pipe Supports;0;FALSE;;;;;;56;;;;;;
Referenced Common Civil Equipment Structures Pipes;PURP OF SITE EQ 'REFR';PIPE STRU EQUI;Referenced Common Civil Equipment Structures Pipes;0;FALSE;;;;;;57;;;;;;
Rule for all Industrial Buildings floors;;FLOOR;Rule for all Industrial Buildings floors;0;FALSE;khaki;;;;;58;;;;;;
Concrete grey building;PURP OF ZONE EQ 'CIVI';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Concrete grey building;0;FALSE;210;;;;;59;;;;;;
Equipment Powderblue;PURP OF ZONE EQ 'EQUI';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Equipment Powderblue;0;FALSE;241;;;;;60;;;;;;
Exisiting Pink;PURP OF ZONE EQ 'EXIS';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Exisiting Pink;0;FALSE;11;;;;;61;;;;;;
Future Yellowgreen;PURP OF ZONE EQ 'FUTR';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Future Yellowgreen;0;FALSE;230;;;;;62;;;;;;
Client Aquamarine;PURP OF ZONE EQ 'CLIE';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Client Aquamarine;0;FALSE;237;;;;;63;;;;;;
Steel strucutre steelblue;PURP OF ZONE EQ 'STEE';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Steel strucutre steelblue;0;FALSE;243;;;;;64;;;;;;
Secondary Steel Steelblue;PURP OF ZONE EQ 'HANG';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Secondary Steel Steelblue;0;FALSE;236;;;;;65;;;;;;
Road landscape midnight;PURP OF ZONE EQ 'LAND';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Road landscape midnight;0;FALSE;242;;;;;66;;;;;;
HVAC chocolate;PURP OF ZONE EQ 'HVAC';BRAN EQUI SUBE STRU FRMW SUBS SBFR;HVAC chocolate;0;FALSE;254;;;;;67;;;;;;
Cranes/hoist Tomato;PURP OF ZONE EQ 'CRAN';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Cranes/hoist Tomato;0;FALSE;217;;;;;68;;;;;;
Gridlines Red;PURP OF ZONE EQ 'GRID';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Gridlines Red;0;FALSE;2;;;;;69;;;;;;
Demolition Red;PURP OF ZONE EQ 'DEMO';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Demolition Red;0;FALSE;2;;;;;70;;;;;;
Old Location;PURP OF ZONE EQ 'OLDL';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Old Location;0;FALSE;218;;;;;71;;;;;;
New location;PURP OF ZONE EQ 'NEWL';BRAN EQUI SUBE STRU FRMW SUBS SBFR;New location;0;FALSE;233;;;;;72;;;;;;
Ducting khaki;PURP OF ZONE EQ 'DUCT';BRAN EQUI SUBE STRU FRMW SUBS SBFR;Ducting khaki;0;FALSE;253;;;;;73;;;;;;
Primary steel royalblue;FUNC OF ZONE EQ 'VOF' AND PURP OF ZONE OF HREF NEQ 'OFF';HANG;Primary steel royalblue;0;FALSE;239;;;;;74;;;;;;
